"Name","Brand","Colour","Body","Top","Neck","Fretboard","Frets","Scale","Pickups","Tremolo","Bag","Case","Price"
"Harley Benton HWY-25BKS Progressive Series","Harley Benton","Black","Basswood","None","Maple","Roseacer","24","648 mm","HH","None","No","No","€ 111"
"Solar Guitars S1.6 PB ETC","Solar Guitars","Burst","Mahogany","Poplar Burl","Maple, Jatoba","Ebony","24","648 mm","HH","None","No","No","€ 1.199"
"Schecter Banshee 6 Extreme CB","Schecter","€ 539"
"Schecter C-1 FR S SLS Evil Twin SBK","Schecter","Black","Ash","None","Maple, Padauk, Walnut","Ebony","24","648 mm","H, Sustainiac","FR-Style","No","No","€ 1.499"
"Fender SQ Bullet Strat HT HSS IL AWT","Fender","White","Basswood","None","Maple","Indian Laurel","21","648 mm","HSS","None","No","No","€ 133"
"Fender Player Series Strat PF BLK","Fender","Black","Alder","None","Maple","Pau Ferro","22","648 mm","SSS","Standard","No","No","€ 639"
"Fender AM Ultra Strat RW HSS C. Blue","Fender","Blue","Alder","None","Maple","Rosewood","22","648 mm","HSS","Vintage","No","Yes","€ 2.049"
"Fender AM Ultra Strat RW Arctic Pearl","Fender","White","Alder","None","Maple","Rosewood","22","648 mm","SSS","Vintage","No","Yes","€ 2.049"
"Fender Squier Bullet Strat HT IL AW","Fender","White","Basswood","None","Maple","Indian Laurel","21","648 mm","SSS","None","No","No","€ 129"
"Harley Benton Amarok-6 BKBL Flame Burst","Harley Benton","Blue","Mahogany","Maple, Laminated","Maple, Mahogany, Maple, Mahogany, Maple","Ebony","24","648 mm","HH","None","No","No","€ 499"
"Fender 75TH Anni Strat MN Diamond Ann","Fender","Silver","Alder","None","Maple","Maple","22","648 mm","SSS","Modern","Yes","No","€ 899"
"Fender Squier Bullet Strat HSS BK","Fender","Black","Basswood","None","Maple","Indian Laurel","21","648 mm","HSS","Standard","No","No","€ 133"
"Fender Yngwie Malmsteen MN VW","Fender","White","Alder","None","Maple","Maple","21","648 mm","SSS","Vintage","No","Yes","€ 2.444"
"Fender AM Pro II Strat LH 3TSB","Fender","Sunburst","Alder","None","Maple","Rosewood","22","648 mm","SSS","Vintage","No","Yes","€ 1.777"
"Fender SQ CV 70s Strat HSS MN BLK","Fender","Black","Poplar","None","Maple","Maple","21","648 mm","HSS","Standard","No","No","€ 388"
"Fender Player Series Strat PF Silver","Fender","Silver","Alder","None","Maple","Pau Ferro","22","648 mm","SSS","Vintage","No","No","€ 639"
"Fender SQ CV 50s Strat MN BK","Fender","Black","Nato","None","Maple","Maple","21","648 mm","SSS","Vintage","No","No","€ 388"
"Jackson Adrian Smith SDXQ Trans Green","Jackson","Green","Basswood","Maple","Maple","Maple","22","648 mm","HSS","FR-Style","No","No","€ 525"
"Fender AM Acoustasonic Strat Ziricote","Fender","Natural","Mahogany","Ziricote","Black Limba","Ebony","22","648 mm","Miscellaneous","None","No","Yes","€ 2.666"
"G&L Tribute Comanche Olympic White","G&L","White","Mahogany","None","Maple","21","648 mm","HHH","Vintage","No","No","€ 709"
"Fender AM Acoustasonic Strat 3-SB","Fender","Sunburst","Mahogany","Sitka, massive","Mahogany","Ebony","22","648 mm","Miscellaneous","None","Yes","No","€ 1.755"
"Fender Player Series Strat HSS MN 3TS","Fender","Sunburst","Alder","None","Maple","Maple","22","648 mm","HSS","Standard","No","No","€ 649"
"Fender Jimi Hendrix Strat OWH","Fender","White","Alder","None","Maple","Maple","21","648 mm","SSS","Vintage","Yes","No","€ 939"
"Harley Benton CST-24T Ocean Flame","Harley Benton","Blue","Mahogany","Maple","Mahogany","Jatoba","24","635 mm","HH","PRS-Style","No","No","€ 249"
"Fender Ed O´Brien Stratocaster","Fender","White","Alder","None","Maple","Maple","21","648 mm","HSS","Vintage","Yes","No","€ 1.150"
"Fender SQ Affinity Strat HSS RG IL","Fender","Green","Poplar","None","Maple","Indian Laurel","21","648 mm","HSS","Vintage","No","No","€ 209"
"Jackson JS32 DKA-M Dinky BLK","Jackson","Black","Basswood","None","Maple","Maple","24","648 mm","HH","FR-Style","No","No","€ 299"
"Cort G 260 OPN","Cort","Natural","Ash","None","Maple","Maple","22","648 mm","HSS","Vintage","No","No","€ 385"
"Solar Guitars AB 1.6HTPB Trans Purple","Solar Guitars","Purple","Ash","None","Maple","Maple","24","648 mm","HH","None","No","No","€ 849"
"Harley Benton ST-20MN CA Standard Series","Harley Benton","Red","Basswood","None","Maple","Maple","22","648 mm","SSS","Vintage","No","No","€ 79"
"ESP E-II M-II NT BTB","ESP","Turquoise","Mahogany","Maple","Maple","Ebony","24","648 mm","HH","None","No","Yes","€ 2.299"
"Jackson JS32Q DKA HT Trans.PurpleBurst","Jackson","Purple","Poplar","Quilted Maple","Maple","Amaranth","24","648 mm","HH","None","No","No","€ 293"
"Harley Benton Fusion-II HH EB PSP Pro Series","Harley Benton","Purple","Mahogany","None","Maple","Ebony","22","648 mm","HH","Standard","No","No","€ 355"
"Fender AM Pro II Strat HSS MN SSB","Fender","Sienna","Alder","None","Maple","Maple","22","648 mm","HSS","Vintage","No","Yes","€ 1.777"
